query,is_hallucinated_gt,response,frac_unsupported_embedding,direct_judge_context_relevant,direct_flagged,lr_risk_probability,cascade_judge_fired,cascade_label,cascade_flagged
How can I see the top BGP peers established for my Juniper WAN Edge devices?,False,"You can see the top BGP peers established for your Juniper WAN Edge devices by making a GET request to the following endpoint:

GET /app/api/reports/top_n/JUNIPER-MIST-WAN-EDGE/bgp_peers_established

This will provide a detailed report listing the top BGP peers established on your Juniper WAN Edge devices.",0.0,true,False,0.0851,False,low,False
List all tags configured in the account,False,"To list all tags configured in the account, use the following API endpoint:

GET /app/api/tags

This retrieves the full list of configured tags in the account, including tag name, color, and type.",0.0,true,False,0.5451,True,low,False
How can I view detailed reports for a specific network device interface?,False,"To view detailed reports for a specific network device interface, use the following API endpoint:

GET /app/api/reports/child-details/NETWORKDEVICE/INTERFACE/{id}

Replace {id} with the specific network device interface ID to fetch in-depth monitoring data for that interface.",0.0,true,False,0.0771,False,low,False
list packet loss statistics for agentless servers report,False,"To list packet loss statistics for agentless servers, use the following endpoint:

GET /app/api/reports/top_n/AGENTLESSSERVER/packet_loss

This API provides a ranking of agentless servers based on packet loss to highlight network reliability issues.",0.0,true,False,0.0466,False,low,False
get availability summary report for GCP Cloud DNS,False,"To get the availability summary report for Google Cloud Platform Cloud DNS monitors, use the following API endpoint:

GET /app/api/reports/availability_summary/type/CLOUDDNS",0.0,true,False,0.2271,False,low,False
get summary report for monitor group by ID,False,"To get the summary report for a monitor group by its ID, use the following API endpoint:

GET /api/reports/summary/group/{id}

This endpoint retrieves the summary report for the specified monitor group, summarizing its monitoring data. Replace {id} with the actual monitor group ID.",0.0,true,False,0.1978,False,low,False
fetch report customization,False,"To fetch the account-level report customization (branding) settings, use the following API endpoint:

GET https://www.site24x7.com/app/api/customize_report

This endpoint returns data such as the company name, logo path, brand foreground/background colors, and report precision/percentile preferences. It provides the global 'Report Customization' settings for the account, distinct from individual custom reports.",0.0,true,False,0.1728,False,low,False
How can I view the trend report for my EKS clusters?,False,"To view the trend report for your EKS clusters, you can use the following API endpoint:

GET /app/api/reports/trend/type/EKSCLUSTER

This endpoint fetches trend reports showing the performance and usage patterns for EKS clusters over time.",0.0,true,False,0.0436,False,low,False
How can I see which VPC network interfaces have missing data in my reports?,False,"You can see which VPC network interfaces have missing data in your reports by using the following API endpoint:

GET /app/api/reports/top_n/VPC_NI/nodata_records

This endpoint retrieves a report listing VPC network interfaces that have missing data in monitoring records.",0.0,true,False,0.0796,False,low,False
list DLM-EBS snapshot copy failures by region,False,"To list DLM-EBS snapshot copy failures by region, use the following API endpoint:

GET /app/api/reports/top_n/DLM-EBS-SNAPSHOT/snapshots_copied_region_failed

This endpoint provides a top N report of DLM-EBS snapshot copy failures across regions.",0.0,true,False,0.0405,False,low,False
